,0
70,"['Granularity:', 'quarter', 'Historical sum:', 3254936, 'Historical length:', 23, 'Historical average:', 141519.0, 'Theta_sum:', 1109747.0, 'Theta average:', 123305.0]"
71,"['Granularity:', 'quarter', 'Historical sum:', 1816745, 'Historical length:', 10, 'Historical average:', 181674.0, 'Theta_sum:', 1439233.0, 'Theta average:', 159915.0]"
72,"['Granularity:', 'quarter', 'Historical sum:', 2140303, 'Historical length:', 19, 'Historical average:', 112648.0, 'Theta_sum:', 944053.0, 'Theta average:', 104895.0]"
73,"['Granularity:', 'quarter', 'Historical sum:', 4984103, 'Historical length:', 31, 'Historical average:', 160778.0, 'Theta_sum:', 1369858.0, 'Theta average:', 152206.0]"
74,"['Granularity:', 'quarter', 'Historical sum:', 493149, 'Historical length:', 5, 'Historical average:', 98630.0, 'Theta_sum:', 896387.0, 'Theta average:', 99599.0]"
75,"['Granularity:', 'quarter', 'Historical sum:', 1312186, 'Historical length:', 4, 'Historical average:', 328046.0, 'Theta_sum:', 2950968.0, 'Theta average:', 327885.0]"
76,"['Granularity:', 'quarter', 'Historical sum:', 13696481, 'Historical length:', 22, 'Historical average:', 622567.0, 'Theta_sum:', 5533293.0, 'Theta average:', 614810.0]"
77,"['Granularity:', 'quarter', 'Historical sum:', 2132143, 'Historical length:', 4, 'Historical average:', 533036.0, 'Theta_sum:', 4892173.0, 'Theta average:', 543575.0]"
78,"['Granularity:', 'quarter', 'Historical sum:', 9028781, 'Historical length:', 24, 'Historical average:', 376199.0, 'Theta_sum:', 3363481.0, 'Theta average:', 373720.0]"
79,"['Granularity:', 'quarter', 'Historical sum:', 26883372, 'Historical length:', 7, 'Historical average:', 3840482.0, 'Theta_sum:', 38026235.0, 'Theta average:', 4225137.0]"
80,"['Granularity:', 'quarter', 'Historical sum:', 735989, 'Historical length:', 4, 'Historical average:', 183997.0, 'Theta_sum:', 1645172.0, 'Theta average:', 182797.0]"
81,"['Granularity:', 'quarter', 'Historical sum:', 3947195, 'Historical length:', 30, 'Historical average:', 131573.0, 'Theta_sum:', 1593603.0, 'Theta average:', 177067.0]"
82,"['Granularity:', 'quarter', 'Historical sum:', 28535508, 'Historical length:', 39, 'Historical average:', 731680.0, 'Theta_sum:', 6650078.0, 'Theta average:', 738898.0]"
83,"['Granularity:', 'quarter', 'Historical sum:', 14864861, 'Historical length:', 41, 'Historical average:', 362558.0, 'Theta_sum:', 3344502.0, 'Theta average:', 371611.0]"
84,"['Granularity:', 'quarter', 'Historical sum:', 6049137, 'Historical length:', 14, 'Historical average:', 432081.0, 'Theta_sum:', 3896596.0, 'Theta average:', 432955.0]"
85,"['Granularity:', 'quarter', 'Historical sum:', 3066072, 'Historical length:', 6, 'Historical average:', 511012.0, 'Theta_sum:', 4133132.0, 'Theta average:', 459237.0]"
86,"['Granularity:', 'quarter', 'Historical sum:', 22566972, 'Historical length:', 18, 'Historical average:', 1253721.0, 'Theta_sum:', 8687147.0, 'Theta average:', 965239.0]"
87,"['Granularity:', 'quarter', 'Historical sum:', 40707508, 'Historical length:', 12, 'Historical average:', 3392292.0, 'Theta_sum:', 33777476.0, 'Theta average:', 3753053.0]"
88,"['Granularity:', 'quarter', 'Historical sum:', 6351547, 'Historical length:', 5, 'Historical average:', 1270309.0, 'Theta_sum:', 11047021.0, 'Theta average:', 1227447.0]"
89,"['Granularity:', 'quarter', 'Historical sum:', 5891879, 'Historical length:', 3, 'Historical average:', 1963960.0, 'Theta_sum:', 81260.0, 'Theta average:', 9029.0]"
