Reporting Date;Sale Month;Store;Artist;Title;ISRC;UPC;Quantity;Team Percentage;Song/Album;Country of Sale;Songwriter Royalties Withheld;Earnings (USD)
2020-09-18;2020-04;Napster;FRVRFRIDAY;Maliblue;QZHN31922730;;3;100;Song;GB;0;0.02880073
2020-09-18;2020-04;Napster;FRVRFRIDAY;Maliblue;QZHN31922730;;10;100;Song;FR;0;0.06520166
2020-09-18;2020-04;Napster;FRVRFRIDAY;Maliblue;QZHN31922730;;123;100;Song;DE;0;0.84152142
2020-09-23;2020-04;Saavn;FRVRFRIDAY;Maliblue;QZHN31922730;;15;100;Song;US;0;0.00294231
2020-09-19;2020-05;Amazon Unlimited (Streaming);FRVRFRIDAY;Maliblue;QZHN31922730;;17;100;Song;;0;0.17488200
2020-09-19;2020-05;Amazon Unlimited (Streaming);FRVRFRIDAY;Maliblue;QZHN31922730;;3;100;Song;;0;0.00982200
2020-09-19;2020-05;Amazon Unlimited (Streaming);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;US;0;0.00812200
2020-09-19;2020-05;Amazon Unlimited (Streaming);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;US;0;0.00517700
2020-09-19;2020-05;Amazon Unlimited (Streaming);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;US;0;0.01112200
2020-09-19;2020-05;Amazon Unlimited (Streaming);FRVRFRIDAY;Maliblue;QZHN31922730;;11;100;Song;US;0;0.02200000
2020-09-19;2020-05;Amazon Unlimited (Streaming);FRVRFRIDAY;Maliblue;QZHN31922730;;96;100;Song;US;0;1.28125300
2020-09-19;2020-05;Amazon Unlimited (Streaming);FRVRFRIDAY;Maliblue;QZHN31922730;;2;100;Song;US;0;0.02757100
2020-09-19;2020-05;Amazon Unlimited (Streaming);FRVRFRIDAY;Maliblue;QZHN31922730;;32;100;Song;US;0;0.13599800
2020-09-19;2020-05;Amazon Unlimited (Streaming);FRVRFRIDAY;Maliblue;QZHN31922730;;3;100;Song;US;0;0.01835700
2020-09-19;2020-05;Amazon Unlimited (Streaming);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;US;0;0.01060900
2020-09-19;2020-05;Amazon Unlimited (Streaming);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;US;0;0.00696400
2020-09-19;2020-05;Amazon Unlimited (Streaming);FRVRFRIDAY;Maliblue;QZHN31922730;;61;100;Song;US;0;0.39730400
2020-09-19;2020-05;Amazon Prime (Streaming);FRVRFRIDAY;Maliblue;QZHN31922730;;15;100;Song;IN;0;0.02375500
2020-09-20;2020-05;Amazon Unlimited (Streaming);FRVRFRIDAY;Maliblue;QZHN31922730;;2;100;Song;GB;0;0.01886423
2020-09-20;2020-05;Amazon Unlimited (Streaming);FRVRFRIDAY;Maliblue;QZHN31922730;;3;100;Song;GB;0;0.01657500
2020-09-20;2020-05;Amazon Unlimited (Streaming);FRVRFRIDAY;Maliblue;QZHN31922730;;10;100;Song;GB;0;0.02131268
2020-09-20;2020-05;Amazon Unlimited (Streaming);FRVRFRIDAY;Maliblue;QZHN31922730;;33;100;Song;GB;0;0.52637058
2020-09-20;2020-05;Amazon Unlimited (Streaming);FRVRFRIDAY;Maliblue;QZHN31922730;;1;100;Song;AT;0;0.00429466
2020-09-20;2020-05;Amazon Unlimited (Streaming);FRVRFRIDAY;Maliblue;QZHN31922730;;3;100;Song;DE;0;0.01915424
2020-09-20;2020-05;Amazon Unlimited (Streaming);FRVRFRIDAY;Maliblue;QZHN31922730;;7;100;Song;DE;0;0.01348810
2020-09-20;2020-05;Amazon Unlimited (Streaming);FRVRFRIDAY;Maliblue;QZHN31922730;;17;100;Song;DE;0;0.07729817
2020-09-20;2020-05;Amazon Unlimited (Streaming);FRVRFRIDAY;Maliblue;QZHN31922730;;21;100;Song;DE;0;0.08909630
2020-09-20;2020-05;Amazon Unlimited (Streaming);FRVRFRIDAY;Maliblue;QZHN31922730;;42;100;Song;DE;0;0.43076358
2020-09-20;2020-05;Amazon Unlimited (Streaming);FRVRFRIDAY;Maliblue;QZHN31922730;;6;100;Song;DE;0;0.01828715
2020-09-20;2020-05;Amazon Unlimited (Streaming);FRVRFRIDAY;Maliblue;QZHN31922730;;7;100;Song;FR;0;0.05081410
